Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Year,Month,Day,lagged
2011-12-31,4.39,4.413478260869565,4.39,4.413478260869565,12030.500073080218,52817.263703011486,4.390182303320963,2011.0,12.0,31.0,4.6418173890628704
2012-01-01,4.405942028985507,4.8513501144164755,4.405942028985507,4.8513501144164755,10265.753449478947,47670.875479188326,4.6418173890628704,2012.0,1.0,1.0,4.9790961098398165
2012-01-02,4.851716247139588,5.0,4.851716247139588,5.0,18268.759649754975,91042.78223046823,4.9790961098398165,2012.0,1.0,2.0,5.146871527777778
2012-01-03,5.0,5.32,5.0,5.29,17121.841573150145,86685.00135291615,5.146871527777778,2012.0,1.0,3.0,5.110587607311979
2012-01-04,5.29,5.361666666666666,4.93,5.361666666666666,8811.361367765714,45162.133867904144,5.110587607311979,2012.0,1.0,4.0,5.853401739871255
2012-01-05,5.36,6.46,5.36,6.421763527054108,19339.469698555,107687.2013523569,5.853401739871255,2012.0,1.0,5.0,6.62520852856187
2012-01-06,6.421783567134268,6.9,6.421783567134268,6.457,4588.477618574167,31037.32988773272,6.62520852856187,2012.0,1.0,6.0,6.363173433265582
2012-01-07,6.455500000000001,6.717682926829268,6.0,6.717682926829268,1594.1538867869538,10004.099145991973,6.363173433265582,2012.0,1.0,7.0,6.845578557433147
2012-01-08,6.718292682926829,6.917967332123412,6.718292682926829,6.917967332123412,3006.098663098762,20715.1589319568,6.845578557433147,2012.0,1.0,8.0,6.886403955134605
2012-01-09,6.918148820326679,7.0,6.5,6.6,5308.2018518201185,36489.65918422965,6.886403955134605,2012.0,1.0,9.0,6.35241037912913
2012-01-10,6.6,6.7,6.23,6.605743243243243,2275.571187706081,14412.103302083171,6.35241037912913,2012.0,1.0,10.0,7.050136310291964
2012-01-11,6.609459459459459,7.33,6.25,6.926267281105991,3794.4151125665458,26782.21703925409,7.050136310291964,2012.0,1.0,11.0,7.063156914709209
2012-01-12,6.926728110599079,7.38,6.6,6.730208333333333,10712.75756975404,76073.62852673863,7.063156914709209,2012.0,1.0,12.0,6.748575119348449
2012-01-13,6.735416666666667,7.36,6.51,6.9,1478.5102061118334,9994.458653503567,6.748575119348449,2012.0,1.0,13.0,6.524609439549435
2012-01-14,6.9,7.34,6.324126172208014,6.324126172208014,1918.68155667228,12519.72582535339,6.524609439549435,2012.0,1.0,14.0,6.722439976116468
2012-01-15,6.348081841432225,7.15,6.3,6.972414772727273,5427.581708996096,38448.77303809091,6.722439976116468,2012.0,1.0,15.0,6.583680257881637
2012-01-16,6.971875000000001,6.971875000000001,6.2,6.255752212389381,1441.7216302582576,9493.003932392512,6.583680257881637,2012.0,1.0,16.0,6.78879310354267
2012-01-17,6.2637168141592925,7.1,6.2637168141592925,6.838752783964366,1937.4026414892326,13198.987327150955,6.78879310354267,2012.0,1.0,17.0,6.341034228189756
2012-01-18,6.837639198218263,7.1,5.99,6.978593073593073,9094.431461315635,56907.00923902458,6.341034228189756,2012.0,1.0,18.0,6.292997699365623
2012-01-19,6.9768831168831165,7.0,5.52,6.820943396226415,11825.130242989408,74806.84123174635,6.292997699365623,2012.0,1.0,19.0,6.586000375841333
2012-01-20,6.8233962264150945,7.0,6.01,6.940116959064327,17974.484705611434,114818.4735037926,6.586000375841333,2012.0,1.0,20.0,6.666242690058479
2012-01-21,6.939736842105264,6.939736842105264,6.392748538011696,6.392748538011696,10399.022597461053,66305.71844982568,6.666242690058479,2012.0,1.0,21.0,6.51344308731186
2012-01-22,6.392368421052631,6.83,6.03,6.828819672131147,11654.838665649746,73175.12610411752,6.51344308731186,2012.0,1.0,22.0,6.576447360772003
2012-01-23,6.828688524590164,6.828688524590164,6.0,6.390425531914894,4938.145906756126,31642.62808570269,6.576447360772003,2012.0,1.0,23.0,6.44395951536643
2012-01-24,6.391489361702128,6.57,6.0,6.55,12645.684666415069,81665.95944442876,6.44395951536643,2012.0,1.0,24.0,6.4945859375
2012-01-25,6.55,6.86,6.26,6.424875,16514.796807939667,103849.7058188485,6.4945859375,2012.0,1.0,25.0,6.264333038397034
2012-01-26,6.422499999999999,6.422499999999999,6.0,6.213061224489795,934.4737279605357,5780.8201918402565,6.264333038397034,2012.0,1.0,26.0,5.575503060286128
2012-01-27,6.212142857142857,6.3,3.8,5.829152542372881,3263.952620497727,18579.517050837152,5.575503060286128,2012.0,1.0,27.0,5.28392802961021
2012-01-28,5.829322033898305,5.88,4.91,5.414100719424461,3482.417582186468,20260.97378491696,5.28392802961021,2012.0,1.0,28.0,5.6705601981272125
2012-01-29,5.414805755395683,5.9,5.414805755395683,5.428228571428571,1109.0273335679642,6078.832214635892,5.6705601981272125,2012.0,1.0,29.0,5.404031428571429
2012-01-30,5.427542857142857,5.58,5.3,5.58,5448.002703373806,29654.19796276808,5.404031428571429,2012.0,1.0,30.0,5.66178125
2012-01-31,5.58,5.85,5.58,5.85,3063.204654116594,17587.541877242675,5.66178125,2012.0,1.0,31.0,5.516047770250444
2012-02-01,5.85,6.22,3.8,5.885867768595041,3253.709930179034,18611.95328785497,5.516047770250444,2012.0,2.0,1.0,5.989588355844648
2012-02-02,5.884628099173554,6.26,5.54,6.253333333333333,3362.6722912270384,20488.44780394792,5.989588355844648,2012.0,2.0,2.0,6.169652441598281
2012-02-03,6.253809523809524,6.35,5.9,6.191028571428572,11777.419621874677,71940.0122429065,6.169652441598281,2012.0,2.0,3.0,6.228210507830436
2012-02-04,6.190971428571429,6.5,5.94,6.382790697674419,6059.802735705402,37292.562680333154,6.228210507830436,2012.0,2.0,4.0,5.940835901881135
2012-02-05,6.381488372093023,6.381488372093023,5.706842105263158,5.706842105263158,3362.474217518256,19794.323473830154,5.940835901881135,2012.0,2.0,5.0,5.608861793027917
2012-02-06,5.706315789473685,6.15,5.2,5.7911660777385165,1435.8263806734628,7740.986870882586,5.608861793027917,2012.0,2.0,6.0,5.655920187966235
2012-02-07,5.793639575971731,5.9,5.5,5.824,8476.466513811538,48158.09821255849,5.655920187966235,2012.0,2.0,7.0,5.71595973812553
2012-02-08,5.829090909090909,5.88,5.51,5.66058524173028,19196.274311890076,109645.63793651901,5.71595973812553,2012.0,2.0,8.0,5.706238905113707
2012-02-09,5.660610687022901,5.87,5.51,5.87,12960.862112525061,73897.21448580116,5.706238905113707,2012.0,2.0,9.0,5.8798715277777776
2012-02-10,5.87,5.89,5.8,5.88,10165.950632695693,59764.96164346691,5.8798715277777776,2012.0,2.0,10.0,5.725340636973181
2012-02-11,5.88,5.88,5.5,5.565344827586207,10202.910412863284,59586.69972588084,5.725340636973181,2012.0,2.0,11.0,5.669152418582375
2012-02-12,5.56551724137931,5.78,5.55,5.55,29766.53789966738,171808.08618675004,5.669152418582375,2012.0,2.0,12.0,5.623191468253968
2012-02-13,5.55,5.778299319727891,5.5,5.778299319727891,13821.78483856279,78776.05905879795,5.623191468253968,2012.0,2.0,13.0,5.336152914044192
2012-02-14,5.7785714285714285,5.8,4.7,4.882432432432433,11551.522717519903,61885.276431463026,5.336152914044192,2012.0,2.0,14.0,4.880355639769508
2012-02-15,4.863513513513514,5.08,4.56,5.023636363636364,6907.815884637538,33810.23458742322,4.880355639769508,2012.0,2.0,15.0,4.629485402872393
2012-02-16,5.024545454545454,5.08,4.17,4.641578947368421,3691.2099357298516,16917.57904072367,4.629485402872393,2012.0,2.0,16.0,4.694549732096029
2012-02-17,4.6421052631578945,4.98,4.15,4.539770992366412,11366.491978635215,53477.98921188222,4.694549732096029,2012.0,2.0,17.0,4.509049960033036
2012-02-18,4.538625954198473,4.74,4.1465182186234815,4.1465182186234815,16461.19734376614,73344.81126426313,4.509049960033036,2012.0,2.0,18.0,4.310224956135902
2012-02-19,4.148906882591093,4.38,4.14,4.367130801687764,9728.612655340883,41958.198067745616,4.310224956135902,2012.0,2.0,19.0,4.555208868210493
2012-02-20,4.367236286919831,4.72,4.367236286919831,4.59,11680.365391876181,53519.323847207466,4.555208868210493,2012.0,2.0,20.0,4.471691897951494
2012-02-21,4.59,4.6,4.3,4.435154639175257,14247.155427490206,63331.74029586135,4.471691897951494,2012.0,2.0,21.0,4.521619149391075
2012-02-22,4.445567010309278,4.58,4.436185567010309,4.57,16253.14654476848,73535.23901042619,4.521619149391075,2012.0,2.0,22.0,4.661993834910232
2012-02-23,4.57,5.010871794871795,4.51,5.010871794871795,15740.733976769827,73392.7723537347,4.661993834910232,2012.0,2.0,23.0,5.108404815233747
2012-02-24,5.0,5.22,5.0,5.164414893617021,14568.736063387763,73602.76483765763,5.108404815233747,2012.0,2.0,24.0,5.063723326448267
2012-02-25,5.16468085106383,5.22,4.95,4.999532908704883,9451.115561765826,47776.18280688892,5.063723326448267,2012.0,2.0,25.0,4.925794775183667
2012-02-26,4.999331210191083,5.07,4.78,5.002688927943761,16422.571100746773,80676.53644300043,4.925794775183667,2012.0,2.0,26.0,5.011388589165453
2012-02-27,5.0028119507908615,5.1,4.95,4.956976744186047,10037.648707965544,50600.99534575588,5.011388589165453,2012.0,2.0,27.0,5.060043573871344
2012-02-28,4.958720930232558,5.1,4.958720930232558,5.04,28389.47059178058,144409.8951113079,5.060043573871344,2012.0,2.0,28.0,4.9218463571889925
2012-02-29,5.04,5.04,4.71,4.97,12171.595695777429,59636.045654520094,4.9218463571889925,2012.0,2.0,29.0,4.997941520378403
2012-03-01,4.97,5.05,4.9,5.03,9124.19567583018,45531.796505080776,4.997941520378403,2012.0,3.0,1.0,4.879186134979062
2012-03-02,5.03,5.03,4.64,4.7942857142857145,14147.224122017391,68351.46597195753,4.879186134979062,2012.0,3.0,2.0,4.780896682421372
2012-03-03,4.796875,4.99,4.6,4.662918693537179,17199.86313080963,81025.12778034176,4.780896682421372,2012.0,3.0,3.0,4.72879862423645
2012-03-04,4.6630090340514245,4.804835164835165,4.6630090340514245,4.804835164835165,28660.80691774927,136633.37159704813,4.72879862423645,2012.0,3.0,4.0,4.868124419436914
2012-03-05,4.80489010989011,4.98,4.77,4.977971014492754,23604.84178915023,114330.28477358079,4.868124419436914,2012.0,3.0,5.0,5.00108952502728
2012-03-06,4.97768115942029,5.06,4.94,5.009891304347826,12068.14958245587,60418.64892521519,5.00108952502728,2012.0,3.0,6.0,5.03032275993035
